ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
80.21385,28.340906,4447.55,115.66,4.625,0.242,-0.395,0.185,40.45,12.23
80.01148,28.501629,6254.38,303.17,4.49,0.455,-0.079,0.293,-19.4,22.58
80.07319,28.355188,6634.03,299.4,4.316,0.351,-0.256,0.316,3.88,29.36
79.91178,28.333498,5834.35,343.04,3.762,0.62,-0.082,0.334,-7.62,21.66
79.71042,28.633375,5628.55,280.02,4.009,0.61,-0.26,0.295,-56.92,18.62
80.23047,29.44844,5405.36,260.61,4.628,0.467,0.176,0.277,-44.77,13.6
80.11695,29.186548,4872.54,162.62,3.745,0.413,-0.18,0.21,35.1,11.61
79.752785,29.392439,6050.5,344.16,4.755,0.502,-1.388,0.53,-27.51,50.42
80.521576,29.10676,5209.65,198.33,4.162,0.438,-0.023,0.221,-2.08,14.81
80.31452,29.19813,6150.5,304.13,4.143,0.561,0.145,0.257,-45.65,19.05
80.29363,29.233194,6757.62,271.99,3.955,0.41,-0.296,0.299,10.06,31.67
80.433914,29.507294,7166.87,300.88,3.974,0.378,-0.265,0.318,9.57,29.86
81.37017,29.158026,6532.71,330.85,4.415,0.389,-0.136,0.316,-15.62,26.51
80.86739,29.18532,5577.96,282.19,4.356,0.649,-0.292,0.341,-38.72,24.06
81.00584,29.111073,5966.54,239.18,4.861,0.381,-0.014,0.258,40.98,17.89
80.83972,28.590075,7132.28,322.65,4.03,0.413,-0.092,0.372,5.98,30.09
81.184105,28.602472,5744.87,332.65,3.176,0.807,-0.408,0.4,-27.32,21.25
80.44117,28.578575,5852.14,208.38,4.661,0.469,0.243,0.195,-66.1,14.69
80.33392,28.586018,7004.58,321.46,4.169,0.324,0.063,0.319,-29.27,31.05
80.434135,28.94883,4979.56,149.5,4.857,0.329,-0.236,0.223,19.11,11.67
80.14424,28.80991,6246.01,277.79,4.195,0.494,-0.325,0.29,61.91,24.05
80.084526,28.934607,6578.32,279.22,4.539,0.342,-0.109,0.268,-13.35,23.23
80.31384,28.856352,6449.75,266.58,4.13,0.456,-0.439,0.276,-31.25,29.96
80.458,28.645311,6595.9,256.2,4.228,0.413,-0.364,0.307,49.69,37.99
80.99238,29.386108,6606.89,347.19,4.216,0.417,-0.262,0.415,63.05,42.9
80.3567,28.143381,4469.88,81.57,4.377,0.22,0.181,0.133,3.38,8.56
80.1144,28.25188,6504.45,253.54,4.318,0.355,-0.243,0.274,-12.59,17.04
80.26753,28.128069,5848.32,307.37,3.374,0.73,-0.074,0.302,3.69,21.46
80.3371,27.596874,6633.63,295.24,4.532,0.333,-0.085,0.299,43.78,28.08
81.02059,28.05943,6418.12,338.24,3.806,0.523,-0.235,0.323,17.77,28.19
81.08846,28.175425,6276.12,351.78,4.135,0.53,-0.276,0.355,17.84,32.89
80.86035,28.372684,4972.43,132.21,4.776,0.252,0.149,0.184,-17.02,9.27
80.77094,27.764814,5446.54,305.68,3.45,0.739,-0.298,0.363,15.93,16.25
